Nutrient,Nutrient Type,Unit,Constraint Type,Male_Endurance,Female_Endurance,Male_Strength,Female_Strength,Male_Bodybuilding,Female_Bodybuilding,Male_HIIT,Female_HIIT,Male_Combat,Female_Combat
Energy,Macro,kcal,RDA,4250,3700,3900,3400,3750,2750,3400,2700,3600,2850
Protein,Macro,g,RDA,1.6,1.6,1.65,1.65,2.25,2.05,1.75,1.6,2,1.8
Carbohydrate,Macro,g,RDA,9,9,4,4,5,4,6.5,5.5,7.5,6.5
Dietary Fiber,Macro,g,RDA,34,"23,5",38,25,34,23,34,23.5,34,23.5
Linoleic Acid,Macro,g,AI,17,12,14.5,11.5,17,12,17,12,17,12
Linolenic Acid,Macro,g,AI,1.6,1.1,1.6,1.1,1.6,1.1,1.6,1.1,1.6,1.1
Calcium,Mineral,mg,RDA,"1,000","1,000",1000,1000,"1,000","1,000","1,000","1,000","1,200","1,200"
Iron,Mineral,mg,RDA,8,18,8,18,8,18,8,18,10,18
Magnesium,Mineral,mg,RDA,420,320,420,320,420,320,420,320,420,320
Phosphorus,Mineral,mg,RDA,700,700,700,700,700,700,700,700,700,700
Potassium,Mineral,mg,AI,"3,400","2,600",4700,4700,"3,400","2,600","3,400","2,600","3,400","2,600"
Sodium,Mineral,mg,UL,2250,2250,1500,1500,2500,2500,2750,2750,3250,2750
Zinc,Mineral,mg,RDA,11,8,11,8,11,8,11,8,11,8
Copper,Mineral,mg,RDA,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Selenium,Mineral,mcg,RDA,55,55,55,55,55,55,55,55,55,55
Vitamin A,Vitamin,mcg,RDA,900,700,900,700,900,700,900,700,900,700
Vitamin E,Vitamin,mg,RDA,15,15,15,15,15,15,15,15,15,15
Vitamin D,Vitamin,mcg,RDA,15,15,15,15,20,20,20,20,22.5,22.5
Vitamin C,Vitamin,mg,RDA,90,75,90,75,90,75,90,75,90,75
Thiamin,Vitamin,mg,RDA,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1
Riboflavin,Vitamin,mg,RDA,1.3,1.1,1.3,1.1,1.3,1.1,1.3,1.1,1.3,1.1
Niacin,Vitamin,mg,RDA,16,14,16,14,16,14,16,14,16,14
Vitamin B6,Vitamin,mg,RDA,1.7,1.5,1.3,1.3,1.7,1.5,1.7,1.5,1.7,1.5
Vitamin B12,Vitamin,mcg,RDA,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Choline,Vitamin,mg,AI,550,425,550,425,550,425,550,425,550,425
Vitamin K,Vitamin,mcg,AI,120,90,120,90,120,90,120,90,120,90
Folate,Vitamin,mcg,RDA,400,400,400,400,400,400,400,400,400,400
"Sugars, total",Macro,g,UL,3,,,,,,,,,
