Main Category,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc,Creatine
Alcoholic beverage,0.026,0.029,0.103,0.281,0.023,0.025,0.261,0.04,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.02,0.011,14.32,2.267,5.667,9.954,0.0,2.067,3.867,3.853,0.023,0.0,149.2,0.3,0.063,0.652,0.0,1.267,1.267,1.267,0.0,0.181,0.4,0.0,5.867,0.137,13.667,48.067,0.35,11.4,0.015,0.333,51.733,7.507,0.0,0.005,1.087,11.533,0.008,0.0,0.02,0.013,0.0,0.03,0.0,0.14,74.081,0.067,0.0
Alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,7.0,6.935,0.0,0.0,0.0,2.2,0.007,0.0,75.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.115,0.5,0.0,7.0,0.158,12.5,43.0,0.18,0.0,0.012,0.25,5.0,6.785,0.0,0.013,0.0,0.0,0.01,0.0,0.03,1.4,0.0,0.01,0.0,0.0,86.07,0.06,0.0
Alcoholic beverages ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.77,0.0,0.0,0.0,8.8,0.006,0.0,46.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.03,0.0,0.0,5.0,0.391,12.0,21.0,0.25,0.0,0.015,0.4,4.0,0.09,0.0,0.005,0.0,0.0,0.02,0.0,0.034,0.0,0.0,0.0,0.0,0.0,92.88,0.01,0.0
Alfalfa seeds,0.0,0.0,0.002,0.059,0.0,0.008,0.056,0.234,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.1,6.0,87.0,0.0,14.4,0.157,6.0,23.0,0.056,0.409,0.069,1.9,36.0,36.0,36.0,0.0,0.96,0.0,0.0,27.0,0.481,70.0,79.0,3.99,0.0,0.126,0.6,6.0,0.2,0.0,0.076,0.69,8.0,0.0,0.0,0.034,8.2,0.0,0.02,0.0,30.5,92.82,0.92,0.0
Animal fat,0.1,0.199,1.294,23.681,2.686,13.432,40.994,10.149,0.995,0.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,42.2,0.0,0.0,897.0,44.874,11.144,39.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,0.0,0.11,0.0
Apple juice,0.0,0.0,0.002,0.027,0.0,0.004,0.008,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,18.772,0.0,0.0,0.0,2.975,0.021,0.0,76.5,0.009,0.059,0.033,0.275,0.25,0.25,0.25,0.0,0.32,26.25,0.0,8.0,0.087,12.0,208.5,0.208,0.0,0.026,0.175,9.5,16.885,0.0,0.014,0.2,0.0,0.0,0.0,0.042,17.95,0.0,0.018,0.0,0.0,80.35,0.053,0.0
Apples,0.0,0.001,0.001,0.042,0.001,0.006,0.012,0.075,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.625,30.775,0.0,18.25,0.0,7.663,0.087,12.75,115.25,0.012,0.091,0.05,4.25,0.75,0.75,0.75,0.0,0.565,19.0,0.0,7.5,0.269,18.25,205.375,0.465,0.0,0.049,0.538,29.625,26.199,0.0,0.016,0.31,2.125,0.0,0.0,0.083,2.05,0.0,0.242,0.0,1.588,67.938,0.095,0.0
Applesauce,0.0,0.0,0.0,0.016,0.0,0.002,0.005,0.028,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,14.38,0.0,8.0,0.0,2.75,0.03,5.5,55.0,0.005,0.034,0.019,1.15,2.0,2.0,2.0,0.0,0.175,18.0,0.0,3.0,0.078,5.5,74.5,0.165,0.0,0.026,0.3,2.0,12.03,0.0,0.022,0.135,0.5,0.0,0.0,0.027,1.35,0.0,0.17,0.0,0.55,85.1,0.03,0.0
Apricot nectar,0.0,0.0,0.0,0.005,0.0,0.001,0.038,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.39,0.0,786.0,0.0,1.0,0.073,7.0,56.0,0.038,0.017,0.006,0.6,1.0,1.0,1.0,0.0,0.38,14.0,0.0,5.0,0.26,9.0,114.0,0.37,0.0,0.014,0.0,3.0,13.79,0.0,0.009,0.09,66.0,0.0,0.0,0.022,0.6,0.0,0.31,0.0,1.2,84.87,0.09,0.0
Apricots,0.0,0.0,0.0,0.009,0.0,0.001,0.057,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.125,21.739,2.375,1184.0,0.0,3.95,0.116,19.375,84.75,0.057,0.033,0.01,2.625,4.0,4.0,4.0,0.0,0.7,29.0,0.0,11.5,0.737,23.75,326.25,1.129,0.0,0.031,0.45,4.25,18.899,0.0,0.018,0.19,99.625,0.0,0.0,0.065,3.562,0.0,1.255,0.0,2.45,76.182,0.16,0.0
